train_loss,train_acc,val_loss,val_acc,total_time
1.7111834589477695,36.614000000000004,1.3746429817586006,50.62,3525.3769903182983
1.378238718223084,49.76,1.1019512905350215,60.81999999999999,3525.3769903182983
1.2069592791445114,56.528,0.9838345488415489,64.53999999999999,3525.3769903182983
1.1124570115143075,59.9,0.9943523165545886,64.1,3525.3769903182983
1.0453939453110366,62.502,0.8318084259576435,69.98,3525.3769903182983
1.0012304032855022,64.24600000000001,0.8400177540658396,70.36,3525.3769903182983
0.9599101012929931,65.794,0.7709604177293898,72.61999999999999,3525.3769903182983
0.9316027867214759,66.84,0.8608760154699977,69.37,3525.3769903182983
0.9016636315818942,68.048,0.7252541305143622,73.99,3525.3769903182983
0.8852756890799384,68.58999999999999,0.7244654343098025,74.61,3525.3769903182983
0.8552441497897858,69.69,0.6860925144032587,75.75,3525.3769903182983
0.8384812972734651,70.236,0.7497299057018908,73.89,3525.3769903182983
0.820960816367508,70.708,0.6525891898553583,77.05,3525.3769903182983
0.8069899530361986,71.366,0.6766223152981529,76.68,3525.3769903182983
0.7915310047166731,71.99,0.6736545709869529,76.71,3525.3769903182983
0.7735799636377398,72.65599999999999,0.6456857844244076,77.23,3525.3769903182983
0.7650308506872953,73.058,0.6222622322885296,78.06,3525.3769903182983
0.7550228940861304,73.30799999999999,0.6346147603626493,77.77,3525.3769903182983
0.7410540094460978,73.782,0.6068352453316315,78.7,3525.3769903182983
0.7362242377627536,73.912,0.5880230140836933,79.61,3525.3769903182983
0.7210028778256663,74.578,0.5916858949238741,79.36999999999999,3525.3769903182983
0.716374749417805,74.74,0.5978691743898995,79.75,3525.3769903182983
0.7060958817029548,75.062,0.5825371530991567,79.78,3525.3769903182983
0.6951745066343976,75.352,0.5651924911933609,80.01,3525.3769903182983
0.6923833936071762,75.53,0.6023926003069817,79.10000000000001,3525.3769903182983
0.6812211162293963,76.06,0.5487033226821996,81.08999999999999,3525.3769903182983
0.6729123889637725,76.076,0.5422466491596608,81.05,3525.3769903182983
0.66137232095994,76.614,0.5419909339162368,81.24,3525.3769903182983
0.6597564401833907,76.96,0.5412915677209443,80.88,3525.3769903182983
0.6498451760357908,76.974,0.5383440463603297,81.47999999999999,3525.3769903182983
0.6484354749664931,77.088,0.515885162957107,82.09,3525.3769903182983
0.6399500074289034,77.434,0.5245167303688919,81.95,3525.3769903182983
0.6320164207454837,77.78,0.5189140823822987,82.05,3525.3769903182983
0.6313799342231068,77.79599999999999,0.5195166132872617,82.09,3525.3769903182983
0.6219119537821816,78.32000000000001,0.5235640802715398,82.17999999999999,3525.3769903182983
0.619370527736976,78.252,0.5110204744188092,82.69,3525.3769903182983
0.6166958786032694,78.472,0.5135225593289242,82.41000000000001,3525.3769903182983
0.6090916187104667,78.50399999999999,0.49565252435358265,82.88,3525.3769903182983
0.5987120145726996,79.00399999999999,0.4923774909369553,82.77,3525.3769903182983
0.5931228271988042,78.982,0.497819862410992,82.84,3525.3769903182983
0.5972706484977547,78.922,0.48609873237489143,83.35000000000001,3525.3769903182983
0.5969873162181786,78.944,0.4877559342716314,83.04,3525.3769903182983
0.5886350564487145,79.288,0.4829657990721208,83.06,3525.3769903182983
0.5853818382905878,79.472,0.48125418832030475,83.39999999999999,3525.3769903182983
0.5830691584845638,79.598,0.47939932610415203,83.0,3525.3769903182983
0.5798566519756756,79.652,0.48007935549639447,83.32000000000001,3525.3769903182983
0.5821486156614845,79.488,0.48035233647008485,83.36,3525.3769903182983
0.578658035725279,79.818,0.4774622094782093,83.35000000000001,3525.3769903182983
0.5767118291324361,79.574,0.4784524357771572,83.31,3525.3769903182983
0.5806473122380883,79.634,0.4770902089680297,83.34,3525.3769903182983
